text,label
nice product,positive
very nice product,positive
really worth the price,positive
works well for me,positive
value for money,positive
highly recommend,positive
excellent quality,positive
great build quality,positive
very good performance,positive
satisfied with the purchase,positive
awesome phone,positive
battery life is good,positive
display is clear and bright,positive
camera quality is impressive,positive
smooth performance,positive
not worth the money,negative
poor quality,negative
bad product,negative
stopped working in a week,negative
very disappointed,negative
waste of money,negative
doesn’t work properly,negative
heats up quickly,negative
battery drains fast,negative
screen flickers,negative
performance is laggy,negative
build quality is cheap,negative
returned the product,negative
worst purchase,negative
not recommended,negative
