review_id,review_text,sentiment,authenticity
1,"The camera is impressive and the video stabilization helps a lot really stands out. If you’re a student, this is fine.",positive,genuine
2,"The build quality is solid and the night photos look clean really stands out. If you’re a student, this is fine.",positive,genuine
3,The build quality is great and the audio is loud and clear really stands out. Would recommend to friends.,positive,genuine
4,I am really happy with the performance; overall a solid experience.,positive,genuine
5,Great camera! audio is loud and clear. Worth the price.,positive,genuine
6,"The performance is solid and the night photos look clean really stands out. If you’re a student, this is fine.",positive,genuine
7,Great build quality! night photos look clean. Worth the price.,positive,genuine
8,The battery is excellent and the audio is loud and clear really stands out.,positive,genuine
9,I am very happy with the display; overall a impressive experience.,positive,genuine
10,"The build quality is great and the video stabilization helps a lot really stands out. If you’re a student, this is fine.",positive,genuine
11,I am extremely happy with the performance; overall a impressive experience. Would recommend to friends.,positive,genuine
12,I am extremely happy with the build quality; overall a impressive experience.,positive,genuine
13,"this phone nailed it—battery feels impressive and video stabilization helps a lot. If you’re a student, this is fine.",positive,genuine
14,this phone nailed it—build quality feels solid and text looks crisp. Would recommend to friends.,positive,genuine
15,The battery is great and the audio is loud and clear really stands out. Met my expectations.,positive,genuine
16,Battery lasts almost two days and the display is reliable.,positive,genuine
17,"Battery lasts a day and half and the display is impressive. After two weeks, still solid.",positive,genuine
18,Battery lasts a day and half and the battery is reliable. Good for daily use.,positive,genuine
19,"I am extremely happy with the display; overall a great experience. After two weeks, still solid.",positive,genuine
20,Great battery! video stabilization helps a lot. Worth the price.,positive,genuine
21,"The build quality is great and the video stabilization helps a lot really stands out. If you’re a student, this is fine.",positive,genuine
22,Battery lasts a day and half and the speakers is great.,positive,genuine
23,Great speakers! audio is loud and clear. Worth the price. Would recommend to friends.,positive,genuine
24,Battery lasts two days and the build quality is great.,positive,genuine
25,I am really happy with the camera; overall a excellent experience. Met my expectations.,positive,genuine
26,I am extremely happy with the build quality; overall a great experience. Would recommend to friends.,positive,genuine
27,the device nailed it—display feels solid and audio is loud and clear.,positive,genuine
28,The camera is solid and the text looks crisp really stands out. Met my expectations.,positive,genuine
29,"I am really happy with the speakers; overall a great experience. If you’re a student, this is fine.",positive,genuine
30,The camera is reliable and the night photos look clean really stands out. Met my expectations.,positive,genuine
31,I am extremely happy with the speakers; overall a excellent experience. Met my expectations.,positive,genuine
32,Great speakers! audio is loud and clear. Worth the price. Would recommend to friends.,positive,genuine
33,Battery lasts a day and half and the performance is reliable. Met my expectations.,positive,genuine
34,Battery lasts two days and the build quality is great. Would recommend to friends.,positive,genuine
35,I am really happy with the speakers; overall a excellent experience.,positive,genuine
36,the device nailed it—performance feels reliable and text looks crisp.,positive,genuine
37,I am extremely happy with the display; overall a solid experience. Would recommend to friends.,positive,genuine
38,The speakers is reliable and the night photos look clean really stands out. Good for daily use.,positive,genuine
39,Great camera! text looks crisp. Worth the price.,positive,genuine
40,Great build quality! night photos look clean. Worth the price.,positive,genuine
41,"The battery is impressive and the night photos look clean really stands out. After two weeks, still solid.",positive,genuine
42,"Battery lasts almost two days and the battery is impressive. After two weeks, still solid.",positive,genuine
43,The camera is solid and the text looks crisp really stands out.,positive,genuine
44,Great battery! audio is loud and clear. Worth the price. Good for daily use.,positive,genuine
45,Battery lasts two days and the camera is impressive. Would recommend to friends.,positive,genuine
46,Great battery! night photos look clean. Worth the price.,positive,genuine
47,I am really happy with the battery; overall a great experience.,positive,genuine
48,Great speakers! text looks crisp. Worth the price. Would recommend to friends.,positive,genuine
49,the device nailed it—battery feels great and audio is loud and clear. Good for daily use.,positive,genuine
50,"the device nailed it—display feels impressive and night photos look clean. If you’re a student, this is fine.",positive,genuine
51,"Great camera! text looks crisp. Worth the price. If you’re a student, this is fine.",positive,genuine
52,"the handset nailed it—display feels impressive and audio is loud and clear. If you’re a student, this is fine.",positive,genuine
53,I am very happy with the display; overall a excellent experience.,positive,genuine
